[한화] 2026년 08월 예약가능 잔여객실 현황
수집일시: 2026-07-13 08:18
==================================================

■ 지점명: 경주 에톤 (경상)
  - 2026년 08월 05일 (수요일) | 디럭스(호텔형) | 예약가능 (1실)
  - 2026년 08월 10일 (월요일) | 플라자 스위트 | 예약가능 (30실)
  - 2026년 08월 11일 (화요일) | 디럭스 룸 (킹) | 예약가능 (29실)
  - 2026년 08월 11일 (화요일) | 디럭스 룸 (트윈) | 예약가능 (29실)
  - 2026년 08월 11일 (화요일) | 비즈니스 룸 | 예약가능 (30실)
  - 2026년 08월 11일 (화요일) | 프리미어 스위트 | 예약가능 (30실)
  - 2026년 08월 11일 (화요일) | 플라자 스위트 | 예약가능 (30실)

■ 지점명: 마티에 오시리아 (경상)
  - 2026년 08월 01일 (토요일) | Comfort Deluxe Twin | 예약가능 (1실)
  - 2026년 08월 02일 (일요일) | Comfort Deluxe Twin | 예약가능 (1실)
  - 2026년 08월 02일 (일요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 03일 (월요일) | Comfort Superior | 예약가능 (1실)
  - 2026년 08월 03일 (월요일) | MATIE Suite | 예약가능 (1실)
  - 2026년 08월 03일 (월요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 03일 (월요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 04일 (화요일) | Comfort Deluxe Double | 예약가능 (2실)
  - 2026년 08월 04일 (화요일) | Comfort Deluxe Twin | 예약가능 (1실)
  - 2026년 08월 04일 (화요일) | MATIE Suite | 예약가능 (1실)
  - 2026년 08월 04일 (화요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 04일 (화요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | Comfort Deluxe Double | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | Comfort Deluxe Twin | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 06일 (목요일) | MATIE Suite (Ocean View) | 예약가능 (2실)
  - 2026년 08월 06일 (목요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 06일 (목요일) | MATIE Suite barrier free | 예약가능 (1실)
  - 2026년 08월 06일 (목요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 07일 (금요일) | Comfort Superior | 예약가능 (1실)
  - 2026년 08월 07일 (금요일) | MATIE Suite (Ocean View) | 예약가능 (2실)
  - 2026년 08월 07일 (금요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 07일 (금요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 08일 (토요일) | Comfort Superior | 예약가능 (2실)
  - 2026년 08월 08일 (토요일) | MATIE Suite | 예약가능 (3실)
  - 2026년 08월 08일 (토요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 08일 (토요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | Comfort Deluxe Double | 예약가능 (2실)
  - 2026년 08월 09일 (일요일) | Comfort Deluxe Twin | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | Comfort Superior | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | MATIE Prestige | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | MATIE Suite | 예약가능 (3실)
  - 2026년 08월 09일 (일요일) | MATIE Suite barrier free | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 10일 (월요일) | Comfort Deluxe Double | 예약가능 (2실)
  - 2026년 08월 10일 (월요일) | Comfort Deluxe Twin | 예약가능 (2실)
  - 2026년 08월 10일 (월요일) | Comfort Superior | 예약가능 (2실)
  - 2026년 08월 10일 (월요일) | MATIE Suite | 예약가능 (3실)
  - 2026년 08월 10일 (월요일) | MATIE Suite barrier free | 예약가능 (3실)
  - 2026년 08월 10일 (월요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 11일 (화요일) | Comfort Deluxe Double | 예약가능 (2실)
  - 2026년 08월 11일 (화요일) | Comfort Deluxe Twin | 예약가능 (2실)
  - 2026년 08월 11일 (화요일) | Comfort Superior | 예약가능 (2실)
  - 2026년 08월 11일 (화요일) | MATIE Suite | 예약가능 (4실)
  - 2026년 08월 11일 (화요일) | MATIE Suite (Ocean View)_ZANMANG LOOPY | 예약가능 (1실)
  - 2026년 08월 11일 (화요일) | MATIE Suite barrier free | 예약가능 (2실)
  - 2026년 08월 11일 (화요일) | MATIE Suite_ZANMANG LOOPY | 예약가능 (1실)

■ 지점명: 브리드호텔 양양 (강원)
  - 2026년 08월 05일 (수요일) | 레이드백 Large _22평 | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | 레이드백 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 11일 (화요일) | 라이즈업 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 11일 (화요일) | 레이드백 Large _22평 | 예약가능 (1실)
  - 2026년 08월 14일 (금요일) | 레이드백 Small _ 14평 | 예약가능 (2실)
  - 2026년 08월 17일 (월요일) | 라이즈업 Medium _ 21평 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | 라이즈업 X Large _ 28평 | 예약가능 (2실)
  - 2026년 08월 17일 (월요일) | 레이드백 Large _22평 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | 레이드백 Small _ 14평 | 예약가능 (4실)
  - 2026년 08월 18일 (화요일) | 레이드백 Large _22평 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | 레이드백 Medium _21평 | 예약가능 (1실)
  - 2026년 08월 19일 (수요일) | 라이즈업 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 19일 (수요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 19일 (수요일) | 레이드백 Medium _21평 | 예약가능 (2실)
  - 2026년 08월 19일 (수요일) | 레이드백 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 20일 (목요일) | 라이즈업 Medium _ 21평 | 예약가능 (1실)
  - 2026년 08월 20일 (목요일) | 라이즈업 Small _ 14평 | 예약가능 (2실)
  - 2026년 08월 20일 (목요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 20일 (목요일) | 레이드백 Medium _21평 | 예약가능 (1실)
  - 2026년 08월 20일 (목요일) | 레이드백 Small _ 14평 | 예약가능 (5실)
  - 2026년 08월 21일 (금요일) | 레이드백 Large _22평 | 예약가능 (2실)
  - 2026년 08월 21일 (금요일) | 레이드백 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 22일 (토요일) | 라이즈업 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 22일 (토요일) | 레이드백 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 23일 (일요일) | 라이즈업 X Large _ 28평 | 예약가능 (1실)
  - 2026년 08월 23일 (일요일) | 레이드백 Large _22평 | 예약가능 (2실)
  - 2026년 08월 23일 (일요일) | 레이드백 Medium _21평 | 예약가능 (1실)
  - 2026년 08월 23일 (일요일) | 레이드백 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 24일 (월요일) | 라이즈업 Medium _ 21평 | 예약가능 (2실)
  - 2026년 08월 24일 (월요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 24일 (월요일) | 레이드백 Medium _21평 | 예약가능 (3실)
  - 2026년 08월 25일 (화요일) | 라이즈업 Medium _ 21평 | 예약가능 (1실)
  - 2026년 08월 25일 (화요일) | 라이즈업 Small _ 14평 | 예약가능 (1실)
  - 2026년 08월 25일 (화요일) | 라이즈업 X Large _ 28평 | 예약가능 (1실)
  - 2026년 08월 25일 (화요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 25일 (화요일) | 레이드백 Medium _21평 | 예약가능 (2실)
  - 2026년 08월 25일 (화요일) | 레이드백 Small _ 14평 | 예약가능 (7실)
  - 2026년 08월 26일 (수요일) | 라이즈업 Small _ 14평 | 예약가능 (3실)
  - 2026년 08월 26일 (수요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 26일 (수요일) | 레이드백 Medium _21평 | 예약가능 (3실)
  - 2026년 08월 26일 (수요일) | 레이드백 Small _ 14평 | 예약가능 (8실)
  - 2026년 08월 27일 (목요일) | 라이즈업 Medium _ 21평 | 예약가능 (1실)
  - 2026년 08월 27일 (목요일) | 라이즈업 Small _ 14평 | 예약가능 (3실)
  - 2026년 08월 27일 (목요일) | 라이즈업 X Large _ 28평 | 예약가능 (1실)
  - 2026년 08월 27일 (목요일) | 레이드백 Large _22평 | 예약가능 (2실)
  - 2026년 08월 27일 (목요일) | 레이드백 Medium _21평 | 예약가능 (2실)
  - 2026년 08월 27일 (목요일) | 레이드백 Small _ 14평 | 예약가능 (9실)
  - 2026년 08월 28일 (금요일) | 라이즈업 Medium _ 21평 | 예약가능 (1실)
  - 2026년 08월 28일 (금요일) | 라이즈업 Small _ 14평 | 예약가능 (4실)
  - 2026년 08월 28일 (금요일) | 라이즈업 X Large _ 28평 | 예약가능 (1실)
  - 2026년 08월 28일 (금요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 28일 (금요일) | 레이드백 Medium _21평 | 예약가능 (2실)
  - 2026년 08월 28일 (금요일) | 레이드백 Small _ 14평 | 예약가능 (8실)
  - 2026년 08월 29일 (토요일) | 라이즈업 Medium _ 21평 | 예약가능 (1실)
  - 2026년 08월 29일 (토요일) | 라이즈업 Small _ 14평 | 예약가능 (3실)
  - 2026년 08월 29일 (토요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 29일 (토요일) | 레이드백 Small _ 14평 | 예약가능 (4실)
  - 2026년 08월 30일 (일요일) | 라이즈업 Medium _ 21평 | 예약가능 (1실)
  - 2026년 08월 30일 (일요일) | 라이즈업 Small _ 14평 | 예약가능 (2실)
  - 2026년 08월 30일 (일요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 30일 (일요일) | 레이드백 Medium _21평 | 예약가능 (1실)
  - 2026년 08월 30일 (일요일) | 레이드백 Small _ 14평 | 예약가능 (8실)
  - 2026년 08월 31일 (월요일) | 라이즈업 Medium _ 21평 | 예약가능 (3실)
  - 2026년 08월 31일 (월요일) | 라이즈업 Small _ 14평 | 예약가능 (3실)
  - 2026년 08월 31일 (월요일) | 라이즈업 X Large _ 28평 | 예약가능 (2실)
  - 2026년 08월 31일 (월요일) | 레이드백 Large _22평 | 예약가능 (3실)
  - 2026년 08월 31일 (월요일) | 레이드백 Medium _21평 | 예약가능 (3실)
  - 2026년 08월 31일 (월요일) | 레이드백 Small _ 14평 | 예약가능 (10실)

■ 지점명: 해운대 (경상)
  - 2026년 08월 05일 (수요일) | 디럭스(오션뷰_재즈_호텔형) | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | 디럭스(원룸_재즈_호텔형) | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | 디럭스(원룸_팝_호텔형) | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | 디럭스(원룸_호텔형) | 예약가능 (1실)
  - 2026년 08월 05일 (수요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 08월 06일 (목요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | 디럭스(오션뷰_호텔형) | 예약가능 (1실)
  - 2026년 08월 09일 (일요일) | 디럭스(원룸_팝_호텔형) | 예약가능 (2실)
  - 2026년 08월 09일 (일요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 08월 10일 (월요일) | 디럭스(오션뷰_재즈_호텔형) | 예약가능 (1실)
  - 2026년 08월 10일 (월요일) | 디럭스(오션뷰_호텔형) | 예약가능 (1실)
  - 2026년 08월 10일 (월요일) | 디럭스(원룸_호텔형) | 예약가능 (8실)
  - 2026년 08월 11일 (화요일) | 디럭스(오륙도뷰) | 예약가능 (9실)
  - 2026년 08월 11일 (화요일) | 디럭스(오륙도뷰_알앤비_호텔형) | 예약가능 (4실)
  - 2026년 08월 11일 (화요일) | 디럭스(오션뷰_호텔형) | 예약가능 (5실)
  - 2026년 08월 11일 (화요일) | 디럭스(원룸_재즈_호텔형) | 예약가능 (2실)
  - 2026년 08월 11일 (화요일) | 디럭스(원룸_호텔형) | 예약가능 (44실)
  - 2026년 08월 11일 (화요일) | 플래티넘 | 예약가능 (1실)
