[소노] 2026년 09월 예약가능 잔여객실 현황
수집일시: 2026-07-12 16:03
==================================================

■ 지점명: 르네블루 by 쏠비치 (기타)
  - 2026년 09월 01일 (화요일) | 디럭스 | 예약가능 (42실)
  - 2026년 09월 16일 (수요일) | 디럭스 스위트 | 예약가능 (8실)
  - 2026년 09월 16일 (수요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 16일 (수요일) | 프레스티지 스위트 | 예약가능 (7실)
  - 2026년 09월 16일 (수요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 16일 (수요일) | 프리미어 스위트 | 예약가능 (4실)
  - 2026년 09월 17일 (목요일) | 디럭스 | 예약가능 (45실)
  - 2026년 09월 17일 (목요일) | 디럭스 스위트 | 예약가능 (7실)
  - 2026년 09월 17일 (목요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 17일 (목요일) | 프레스티지 스위트 | 예약가능 (6실)
  - 2026년 09월 17일 (목요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 17일 (목요일) | 프리미어 스위트 | 예약가능 (3실)
  - 2026년 09월 18일 (금요일) | 디럭스 | 예약가능 (45실)
  - 2026년 09월 18일 (금요일) | 디럭스 스위트 | 예약가능 (9실)
  - 2026년 09월 18일 (금요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 18일 (금요일) | 프레스티지 스위트 | 예약가능 (4실)
  - 2026년 09월 18일 (금요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 18일 (금요일) | 프리미어 스위트 | 예약가능 (2실)
  - 2026년 09월 19일 (토요일) | 디럭스 | 예약가능 (8실)
  - 2026년 09월 19일 (토요일) | 디럭스 스위트 | 예약가능 (7실)
  - 2026년 09월 19일 (토요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 19일 (토요일) | 프레스티지 스위트 | 예약가능 (3실)
  - 2026년 09월 19일 (토요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 19일 (토요일) | 프리미어 스위트 | 예약가능 (2실)
  - 2026년 09월 20일 (일요일) | 디럭스 | 예약가능 (44실)
  - 2026년 09월 20일 (일요일) | 디럭스 스위트 | 예약가능 (10실)
  - 2026년 09월 20일 (일요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 20일 (일요일) | 프레스티지 스위트 | 예약가능 (6실)
  - 2026년 09월 20일 (일요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 20일 (일요일) | 프리미어 스위트 | 예약가능 (3실)
  - 2026년 09월 21일 (월요일) | 디럭스 | 예약가능 (44실)
  - 2026년 09월 21일 (월요일) | 디럭스 스위트 | 예약가능 (10실)
  - 2026년 09월 21일 (월요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 21일 (월요일) | 프레스티지 스위트 | 예약가능 (7실)
  - 2026년 09월 21일 (월요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 21일 (월요일) | 프리미어 스위트 | 예약가능 (4실)
  - 2026년 09월 22일 (화요일) | 디럭스 | 예약가능 (45실)
  - 2026년 09월 22일 (화요일) | 디럭스 스위트 | 예약가능 (10실)
  - 2026년 09월 22일 (화요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 22일 (화요일) | 프레스티지 스위트 | 예약가능 (7실)
  - 2026년 09월 22일 (화요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 22일 (화요일) | 프리미어 스위트 | 예약가능 (3실)
  - 2026년 09월 23일 (수요일) | 디럭스 | 예약가능 (44실)
  - 2026년 09월 23일 (수요일) | 디럭스 스위트 | 예약가능 (10실)
  - 2026년 09월 23일 (수요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 23일 (수요일) | 프레스티지 스위트 | 예약가능 (3실)
  - 2026년 09월 23일 (수요일) | 프리미어 스위트 | 예약가능 (2실)
  - 2026년 09월 24일 (목요일) | 디럭스 | 예약가능 (20실)
  - 2026년 09월 24일 (목요일) | 디럭스 스위트 | 예약가능 (9실)
  - 2026년 09월 24일 (목요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 24일 (목요일) | 프레스티지 스위트 | 예약가능 (1실)
  - 2026년 09월 25일 (금요일) | 디럭스 | 예약가능 (13실)
  - 2026년 09월 25일 (금요일) | 디럭스 스위트 | 예약가능 (9실)
  - 2026년 09월 25일 (금요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 25일 (금요일) | 프레스티지 스위트 | 예약가능 (1실)
  - 2026년 09월 25일 (금요일) | 프리미어 스위트 | 예약가능 (2실)
  - 2026년 09월 26일 (토요일) | 디럭스 | 예약가능 (14실)
  - 2026년 09월 26일 (토요일) | 디럭스 스위트 | 예약가능 (9실)
  - 2026년 09월 26일 (토요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 26일 (토요일) | 프레스티지 스위트 | 예약가능 (2실)
  - 2026년 09월 27일 (일요일) | 디럭스 | 예약가능 (43실)
  - 2026년 09월 27일 (일요일) | 디럭스 스위트 | 예약가능 (6실)
  - 2026년 09월 27일 (일요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 27일 (일요일) | 프레스티지 스위트 | 예약가능 (7실)
  - 2026년 09월 27일 (일요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 27일 (일요일) | 프리미어 스위트 | 예약가능 (3실)
  - 2026년 09월 28일 (월요일) | 디럭스 | 예약가능 (44실)
  - 2026년 09월 28일 (월요일) | 디럭스 스위트 | 예약가능 (9실)
  - 2026년 09월 28일 (월요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 28일 (월요일) | 프레스티지 스위트 | 예약가능 (7실)
  - 2026년 09월 28일 (월요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 28일 (월요일) | 프리미어 스위트 | 예약가능 (3실)
  - 2026년 09월 29일 (화요일) | 디럭스 | 예약가능 (43실)
  - 2026년 09월 29일 (화요일) | 디럭스 스위트 | 예약가능 (10실)
  - 2026년 09월 29일 (화요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 29일 (화요일) | 프레스티지 스위트 | 예약가능 (7실)
  - 2026년 09월 29일 (화요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 29일 (화요일) | 프리미어 스위트 | 예약가능 (4실)
  - 2026년 09월 30일 (수요일) | 디럭스 | 예약가능 (44실)
  - 2026년 09월 30일 (수요일) | 디럭스 스위트 | 예약가능 (8실)
  - 2026년 09월 30일 (수요일) | 디럭스 스위트 엑세서블 | 예약가능 (1실)
  - 2026년 09월 30일 (수요일) | 프레스티지 스위트 | 예약가능 (7실)
  - 2026년 09월 30일 (수요일) | 프레지덴셜 스위트 | 예약가능 (1실)
  - 2026년 09월 30일 (수요일) | 프리미어 스위트 | 예약가능 (4실)

■ 지점명: 소노문 해운대 (경상)
  - 2026년 09월 01일 (화요일) | 스탠다드 | 예약가능 (50실)
  - 2026년 09월 01일 (화요일) | 스탠다드 코너 | 예약가능 (1실)
  - 2026년 09월 01일 (화요일) | 주니어 스위트 | 예약가능 (1실)
  - 2026년 09월 02일 (수요일) | 스탠다드 | 예약가능 (40실)
  - 2026년 09월 02일 (수요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 03일 (목요일) | 스탠다드 | 예약가능 (40실)
  - 2026년 09월 03일 (목요일) | 주니어 스위트 | 예약가능 (3실)
  - 2026년 09월 04일 (금요일) | 스탠다드 | 예약가능 (31실)
  - 2026년 09월 04일 (금요일) | 스탠다드 코너 | 예약가능 (1실)
  - 2026년 09월 05일 (토요일) | 스탠다드 | 예약가능 (13실)
  - 2026년 09월 06일 (일요일) | 스탠다드 | 예약가능 (28실)
  - 2026년 09월 06일 (일요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 07일 (월요일) | 스탠다드 | 예약가능 (43실)
  - 2026년 09월 07일 (월요일) | 스탠다드 코너 | 예약가능 (1실)
  - 2026년 09월 07일 (월요일) | 주니어 스위트 | 예약가능 (3실)
  - 2026년 09월 07일 (월요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 08일 (화요일) | 스탠다드 | 예약가능 (44실)
  - 2026년 09월 08일 (화요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 08일 (화요일) | 주니어 스위트 | 예약가능 (3실)
  - 2026년 09월 09일 (수요일) | 스탠다드 | 예약가능 (24실)
  - 2026년 09월 09일 (수요일) | 스탠다드 코너 | 예약가능 (1실)
  - 2026년 09월 09일 (수요일) | 주니어 스위트 | 예약가능 (5실)
  - 2026년 09월 10일 (목요일) | 스탠다드 | 예약가능 (23실)
  - 2026년 09월 10일 (목요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 10일 (목요일) | 주니어 스위트 | 예약가능 (5실)
  - 2026년 09월 10일 (목요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 11일 (금요일) | 스탠다드 | 예약가능 (28실)
  - 2026년 09월 11일 (금요일) | 스탠다드 코너 | 예약가능 (1실)
  - 2026년 09월 12일 (토요일) | 스탠다드 | 예약가능 (7실)
  - 2026년 09월 13일 (일요일) | 스탠다드 | 예약가능 (47실)
  - 2026년 09월 13일 (일요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 13일 (일요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 14일 (월요일) | 스탠다드 | 예약가능 (54실)
  - 2026년 09월 14일 (월요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 14일 (월요일) | 주니어 스위트 | 예약가능 (1실)
  - 2026년 09월 15일 (화요일) | 스탠다드 | 예약가능 (18실)
  - 2026년 09월 15일 (화요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 16일 (수요일) | 스탠다드 | 예약가능 (19실)
  - 2026년 09월 16일 (수요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 16일 (수요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 17일 (목요일) | 스탠다드 | 예약가능 (36실)
  - 2026년 09월 17일 (목요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 17일 (목요일) | 주니어 스위트 | 예약가능 (4실)
  - 2026년 09월 17일 (목요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 18일 (금요일) | 스탠다드 | 예약가능 (27실)
  - 2026년 09월 18일 (금요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 19일 (토요일) | 스탠다드 | 예약가능 (16실)
  - 2026년 09월 20일 (일요일) | 스탠다드 | 예약가능 (53실)
  - 2026년 09월 20일 (일요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 20일 (일요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 20일 (일요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 21일 (월요일) | 스탠다드 | 예약가능 (56실)
  - 2026년 09월 21일 (월요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 21일 (월요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 21일 (월요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 22일 (화요일) | 스탠다드 | 예약가능 (56실)
  - 2026년 09월 22일 (화요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 22일 (화요일) | 주니어 스위트 | 예약가능 (1실)
  - 2026년 09월 22일 (화요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 23일 (수요일) | 스탠다드 | 예약가능 (46실)
  - 2026년 09월 24일 (목요일) | 스탠다드 | 예약가능 (10실)
  - 2026년 09월 26일 (토요일) | 스탠다드 | 예약가능 (14실)
  - 2026년 09월 27일 (일요일) | 스탠다드 | 예약가능 (36실)
  - 2026년 09월 27일 (일요일) | 스탠다드 코너 | 예약가능 (2실)
  - 2026년 09월 27일 (일요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 28일 (월요일) | 스탠다드 | 예약가능 (43실)
  - 2026년 09월 28일 (월요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 29일 (화요일) | 스탠다드 | 예약가능 (47실)
  - 2026년 09월 29일 (화요일) | 주니어 스위트 | 예약가능 (1실)
  - 2026년 09월 29일 (화요일) | 프리미어 스위트 | 예약가능 (1실)
  - 2026년 09월 30일 (수요일) | 스탠다드 | 예약가능 (48실)
  - 2026년 09월 30일 (수요일) | 주니어 스위트 | 예약가능 (2실)
  - 2026년 09월 30일 (수요일) | 프리미어 스위트 | 예약가능 (1실)

■ 지점명: 소노벨 단양 East (충청)
  - 2026년 09월 01일 (화요일) | 스위트 | 예약가능 (104실)
  - 2026년 09월 01일 (화요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 01일 (화요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 01일 (화요일) | 스위트 탑 플러스 | 예약가능 (5실)
  - 2026년 09월 01일 (화요일) | 패밀리 | 예약가능 (160실)
  - 2026년 09월 01일 (화요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 01일 (화요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 02일 (수요일) | 스위트 | 예약가능 (104실)
  - 2026년 09월 02일 (수요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 02일 (수요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 02일 (수요일) | 스위트 탑 플러스 | 예약가능 (4실)
  - 2026년 09월 02일 (수요일) | 패밀리 | 예약가능 (152실)
  - 2026년 09월 02일 (수요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 02일 (수요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 03일 (목요일) | 스위트 | 예약가능 (104실)
  - 2026년 09월 03일 (목요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 03일 (목요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 03일 (목요일) | 스위트 탑 플러스 | 예약가능 (4실)
  - 2026년 09월 03일 (목요일) | 패밀리 | 예약가능 (107실)
  - 2026년 09월 03일 (목요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 03일 (목요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 04일 (금요일) | 스위트 | 예약가능 (77실)
  - 2026년 09월 04일 (금요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 04일 (금요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 04일 (금요일) | 스위트 탑 플러스 | 예약가능 (1실)
  - 2026년 09월 04일 (금요일) | 패밀리 | 예약가능 (150실)
  - 2026년 09월 04일 (금요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 04일 (금요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 05일 (토요일) | 스위트 | 예약가능 (40실)
  - 2026년 09월 05일 (토요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 05일 (토요일) | 스위트 탑 | 예약가능 (25실)
  - 2026년 09월 05일 (토요일) | 패밀리 | 예약가능 (115실)
  - 2026년 09월 05일 (토요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 05일 (토요일) | 패밀리 탑 | 예약가능 (24실)
  - 2026년 09월 06일 (일요일) | 스위트 | 예약가능 (98실)
  - 2026년 09월 06일 (일요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 06일 (일요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 06일 (일요일) | 스위트 탑 플러스 | 예약가능 (5실)
  - 2026년 09월 06일 (일요일) | 패밀리 | 예약가능 (154실)
  - 2026년 09월 06일 (일요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 06일 (일요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 07일 (월요일) | 스위트 | 예약가능 (104실)
  - 2026년 09월 07일 (월요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 07일 (월요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 07일 (월요일) | 스위트 탑 플러스 | 예약가능 (5실)
  - 2026년 09월 07일 (월요일) | 패밀리 | 예약가능 (161실)
  - 2026년 09월 07일 (월요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 07일 (월요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 08일 (화요일) | 스위트 | 예약가능 (44실)
  - 2026년 09월 08일 (화요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 08일 (화요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 08일 (화요일) | 스위트 탑 플러스 | 예약가능 (5실)
  - 2026년 09월 08일 (화요일) | 패밀리 | 예약가능 (146실)
  - 2026년 09월 08일 (화요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 08일 (화요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 09일 (수요일) | 스위트 | 예약가능 (104실)
  - 2026년 09월 09일 (수요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 09일 (수요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 09일 (수요일) | 스위트 탑 플러스 | 예약가능 (5실)
  - 2026년 09월 09일 (수요일) | 패밀리 | 예약가능 (111실)
  - 2026년 09월 09일 (수요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 09일 (수요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 10일 (목요일) | 스위트 | 예약가능 (62실)
  - 2026년 09월 10일 (목요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 10일 (목요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 10일 (목요일) | 스위트 탑 플러스 | 예약가능 (5실)
  - 2026년 09월 10일 (목요일) | 패밀리 | 예약가능 (111실)
  - 2026년 09월 10일 (목요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 10일 (목요일) | 패밀리 탑 | 예약가능 (34실)
  - 2026년 09월 11일 (금요일) | 스위트 | 예약가능 (62실)
  - 2026년 09월 11일 (금요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 11일 (금요일) | 스위트 탑 | 예약가능 (40실)
  - 2026년 09월 11일 (금요일) | 스위트 탑 플러스 | 예약가능 (2실)
  - 2026년 09월 11일 (금요일) | 패밀리 | 예약가능 (75실)
  - 2026년 09월 11일 (금요일) | 패밀리 Pet Friendly | 예약가능 (2실)
  - 2026년 09월 11일 (금요일) | 패밀리 탑 | 예약가능 (35실)
  - 2026년 09월 12일 (토요일) | 스위트 | 예약가능 (50실)
  - 2026년 09월 12일 (토요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 12일 (토요일) | 스위트 탑 | 예약가능 (26실)
  - 2026년 09월 12일 (토요일) | 패밀리 | 예약가능 (37실)
  - 2026년 09월 12일 (토요일) | 패밀리 Pet Friendly | 예약가능 (1실)
  - 2026년 09월 12일 (토요일) | 패밀리 탑 | 예약가능 (23실)
  - 2026년 09월 13일 (일요일) | 스위트 | 예약가능 (103실)
  - 2026년 09월 13일 (일요일) | 스위트 Pet Friendly | 예약가능 (4실)
  - 2026년 09월 13일 (일요일) | 스위트 탑 | 예약가능 (39실)
  - 2026년 09월 13일 (일요일) | 스위트 탑 플러스 | 예약가능 (4실)
  - 2026년 09월 13일 (일요일) | 패밀리 | 예약가능 (160실)
  - 2026년 09월 13일 (일요일) | 패밀리 Pet Friendly | 예약가능 (1실)
  - 2026년 09월 13일 (일요일) | 패밀리 탑 | 예약가능 (34실)
  - 2026년 09월 14일 (월요일) | 스위트 | 예약가능 (104실)
  - 2026년 09월 14일 (월요일) | 스위트 Pet Friendly | 예약가능 (4실)
