[롯데] 2026년 07월 예약가능 잔여객실 현황
수집일시: 2026-07-13 18:05
==================================================

■ 지점명: 롯데리조트 부여 (충청)
  - 2026년 07월 13일 (월요일) | 캐릭터 패밀리 빼빼로 B형 | 예약가능 (1실) | 요금: 298000
  - 2026년 07월 14일 (화요일) | 콘도 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 293000
  - 2026년 07월 14일 (화요일) | 콘도 패밀리 트윈 | 예약가능 (2실) | 요금: 330000
  - 2026년 07월 14일 (화요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (5실) | 요금: 372000
  - 2026년 07월 14일 (화요일) | 호텔 슈페리어 스위트 | 예약가능 (1실) | 요금: 470000
  - 2026년 07월 14일 (화요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (4실) | 요금: 405000
  - 2026년 07월 15일 (수요일) | 캐릭터 패밀리 로티&로리 | 예약가능 (1실) | 요금: 363000
  - 2026년 07월 15일 (수요일) | 콘도 스위트 더블 | 예약가능 (1실) | 요금: 395000
  - 2026년 07월 15일 (수요일) | 호텔 디럭스 스위트 더블더블 | 예약가능 (1실) | 요금: 707000
  - 2026년 07월 15일 (수요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 349000
  - 2026년 07월 15일 (수요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (3실) | 요금: 409000
  - 2026년 07월 16일 (목요일) | 캐릭터 스위트 로티&로리 | 예약가능 (1실) | 요금: 575000
  - 2026년 07월 16일 (목요일) | 콘도 스위트 더블 | 예약가능 (3실) | 요금: 544000
  - 2026년 07월 16일 (목요일) | 콘도 패밀리 트윈 | 예약가능 (1실) | 요금: 484000
  - 2026년 07월 16일 (목요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 512000
  - 2026년 07월 16일 (목요일) | 호텔 디럭스 더블 | 예약가능 (2실) | 요금: 446000
  - 2026년 07월 16일 (목요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 484000
  - 2026년 07월 16일 (목요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (1실) | 요금: 544000
  - 2026년 07월 17일 (금요일) | 호텔 디럭스 스위트 더블 | 예약가능 (1실) | 요금: 953000
  - 2026년 07월 18일 (토요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 698000
  - 2026년 07월 19일 (일요일) | 콘도 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 386000
  - 2026년 07월 19일 (일요일) | 콘도 스위트 더블 | 예약가능 (7실) | 요금: 484000
  - 2026년 07월 19일 (일요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (6실) | 요금: 465000
  - 2026년 07월 19일 (일요일) | 호텔 디럭스 더블 | 예약가능 (2실) | 요금: 400000
  - 2026년 07월 19일 (일요일) | 호텔 디럭스 스위트 더블 | 예약가능 (1실) | 요금: 693000
  - 2026년 07월 19일 (일요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (4실) | 요금: 437000
  - 2026년 07월 19일 (일요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (7실) | 요금: 498000
  - 2026년 07월 19일 (일요일) | 호텔 프레지덴셜 스위트 | 예약가능 (1실) | 요금: 1511000
  - 2026년 07월 20일 (월요일) | 슈페리어 스위트 with Tempur | 예약가능 (1실) | 요금: 539000
  - 2026년 07월 20일 (월요일) | 캐릭터 패밀리 로티&로리 | 예약가능 (1실) | 요금: 414000
  - 2026년 07월 20일 (월요일) | 콘도 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 349000
  - 2026년 07월 20일 (월요일) | 콘도 스위트 트윈 | 예약가능 (1실) | 요금: 446000
  - 2026년 07월 20일 (월요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 414000
  - 2026년 07월 20일 (월요일) | 호텔 디럭스 더블 | 예약가능 (2실) | 요금: 349000
  - 2026년 07월 20일 (월요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (2실) | 요금: 386000
  - 2026년 07월 20일 (월요일) | 호텔 슈페리어 스위트 | 예약가능 (1실) | 요금: 512000
  - 2026년 07월 20일 (월요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (3실) | 요금: 446000
  - 2026년 07월 21일 (화요일) | 슈페리어 스위트 with Tempur | 예약가능 (1실) | 요금: 539000
  - 2026년 07월 21일 (화요일) | 콘도 스위트 더블 | 예약가능 (4실) | 요금: 446000
  - 2026년 07월 21일 (화요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 414000
  - 2026년 07월 21일 (화요일) | 호텔 디럭스 더블 | 예약가능 (7실) | 요금: 349000
  - 2026년 07월 21일 (화요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (2실) | 요금: 386000
  - 2026년 07월 21일 (화요일) | 호텔 슈페리어 스위트 | 예약가능 (1실) | 요금: 512000
  - 2026년 07월 22일 (수요일) | 콘도 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 377000
  - 2026년 07월 22일 (수요일) | 콘도 스위트 더블 | 예약가능 (3실) | 요금: 474000
  - 2026년 07월 22일 (수요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 442000
  - 2026년 07월 22일 (수요일) | 호텔 디럭스 더블 | 예약가능 (1실) | 요금: 377000
  - 2026년 07월 22일 (수요일) | 호텔 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 377000
  - 2026년 07월 22일 (수요일) | 호텔 디럭스 스위트 더블 | 예약가능 (1실) | 요금: 670000
  - 2026년 07월 22일 (수요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (1실) | 요금: 474000
  - 2026년 07월 23일 (목요일) | 콘도 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 386000
  - 2026년 07월 23일 (목요일) | 호텔 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 386000
  - 2026년 07월 24일 (금요일) | 슈페리어 스위트 with Tempur | 예약가능 (1실) | 요금: 860000
  - 2026년 07월 24일 (금요일) | 콘도 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 605000
  - 2026년 07월 24일 (금요일) | 콘도 패밀리 트윈 | 예약가능 (3실) | 요금: 707000
  - 2026년 07월 24일 (금요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (6실) | 요금: 735000
  - 2026년 07월 24일 (금요일) | 호텔 디럭스 더블 | 예약가능 (2실) | 요금: 605000
  - 2026년 07월 24일 (금요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (6실) | 요금: 707000
  - 2026년 07월 24일 (금요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (1실) | 요금: 767000
  - 2026년 07월 25일 (토요일) | 캐릭터 스위트 로티&로리 | 예약가능 (2실) | 요금: 812000
  - 2026년 07월 25일 (토요일) | 호텔 디럭스 스위트 더블 | 예약가능 (1실) | 요금: 977000
  - 2026년 07월 25일 (토요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (1실) | 요금: 786000
  - 2026년 07월 25일 (토요일) | 호텔 프레지덴셜 스위트 | 예약가능 (1실) | 요금: 1795000
  - 2026년 07월 26일 (일요일) | 콘도 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 609000
  - 2026년 07월 26일 (일요일) | 콘도 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 609000
  - 2026년 07월 26일 (일요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (2실) | 요금: 739000
  - 2026년 07월 26일 (일요일) | 호텔 디럭스 더블 | 예약가능 (1실) | 요금: 609000
  - 2026년 07월 26일 (일요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 711000
  - 2026년 07월 27일 (월요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 739000
  - 2026년 07월 27일 (월요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 711000
  - 2026년 07월 27일 (월요일) | 호텔 슈페리어 스위트 | 예약가능 (1실) | 요금: 846000
  - 2026년 07월 27일 (월요일) | 호텔 프레지덴셜 스위트 | 예약가능 (1실) | 요금: 1795000
  - 2026년 07월 28일 (화요일) | 캐릭터 스위트 로티&로리 | 예약가능 (1실) | 요금: 812000
  - 2026년 07월 28일 (화요일) | 캐릭터 패밀리 로티&로리 | 예약가능 (1실) | 요금: 749000
  - 2026년 07월 28일 (화요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (3실) | 요금: 739000
  - 2026년 07월 28일 (화요일) | 호텔 디럭스 더블 | 예약가능 (3실) | 요금: 609000
  - 2026년 07월 28일 (화요일) | 호텔 디럭스 패밀리트윈 | 예약가능 (3실) | 요금: 711000
  - 2026년 07월 28일 (화요일) | 호텔 슈페리어 스위트 | 예약가능 (1실) | 요금: 846000
  - 2026년 07월 28일 (화요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (1실) | 요금: 786000
  - 2026년 07월 28일 (화요일) | 호텔 프레지덴셜 스위트 | 예약가능 (1실) | 요금: 1795000
  - 2026년 07월 29일 (수요일) | 캐릭터 스위트 로티&로리 | 예약가능 (1실) | 요금: 812000
  - 2026년 07월 29일 (수요일) | 호텔 디럭스 더블 | 예약가능 (1실) | 요금: 609000
  - 2026년 07월 29일 (수요일) | 호텔 주니어 패밀리 스위트 | 예약가능 (1실) | 요금: 786000
  - 2026년 07월 29일 (수요일) | 호텔 프레지덴셜 스위트 | 예약가능 (1실) | 요금: 1795000
  - 2026년 07월 30일 (목요일) | 호텔 그랜드 디럭스 패밀리트윈 | 예약가능 (2실) | 요금: 739000
  - 2026년 07월 30일 (목요일) | 호텔 디럭스 더블 | 예약가능 (1실) | 요금: 609000
  - 2026년 07월 30일 (목요일) | 호텔 프레지덴셜 스위트 | 예약가능 (1실) | 요금: 1795000
  - 2026년 07월 31일 (금요일) | 호텔 디럭스 더블 | 예약가능 (2실) | 요금: 609000
  - 2026년 07월 31일 (금요일) | 호텔 디럭스 스위트 더블 | 예약가능 (1실) | 요금: 977000

■ 지점명: 롯데호텔앤리조트 김해 (경상)
  - 2026년 07월 13일 (월요일) | 캐릭터 스위트 말랑이 | 예약가능 (1실) | 요금: 326000
  - 2026년 07월 13일 (월요일) | 캐릭터 스위트 빼빼로 | 예약가능 (1실) | 요금: 326000
  - 2026년 07월 13일 (월요일) | 호텔 디럭스 더블 | 예약가능 (2실) | 요금: 205000
  - 2026년 07월 13일 (월요일) | 호텔 로얄 트윈트윈 | 예약가능 (1실) | 요금: 475000
  - 2026년 07월 13일 (월요일) | 호텔 스위트A형 트윈온돌 | 예약가능 (5실) | 요금: 284000
  - 2026년 07월 13일 (월요일) | 호텔 스위트B형 더블온돌 | 예약가능 (3실) | 요금: 284000
  - 2026년 07월 13일 (월요일) | 호텔 스위트B형 트윈온돌 | 예약가능 (5실) | 요금: 284000
  - 2026년 07월 13일 (월요일) | 호텔 풀스위트 더블더블 | 예약가능 (1실) | 요금: 335000
  - 2026년 07월 13일 (월요일) | 호텔 프레지덴셜 더블트윈 | 예약가능 (2실) | 요금: 400000
  - 2026년 07월 13일 (월요일) | 호텔 프레지덴셜 트윈트윈 | 예약가능 (1실) | 요금: 400000
  - 2026년 07월 13일 (월요일) | 호텔 프리미엄스위트 더블 | 예약가능 (2실) | 요금: 317000
  - 2026년 07월 14일 (화요일) | 캐릭터 스위트 빼빼로 | 예약가능 (1실) | 요금: 317000
  - 2026년 07월 14일 (화요일) | 호텔 디럭스 더블 | 예약가능 (2실) | 요금: 196000
  - 2026년 07월 14일 (화요일) | 호텔 디럭스 트윈 | 예약가능 (1실) | 요금: 196000
  - 2026년 07월 14일 (화요일) | 호텔 로얄 트윈트윈 | 예약가능 (2실) | 요금: 465000
  - 2026년 07월 14일 (화요일) | 호텔 스위트A형 더블온돌 | 예약가능 (3실) | 요금: 275000
  - 2026년 07월 14일 (화요일) | 호텔 스위트A형 트윈온돌 | 예약가능 (2실) | 요금: 275000
  - 2026년 07월 14일 (화요일) | 호텔 스위트B형 더블온돌 | 예약가능 (5실) | 요금: 275000
  - 2026년 07월 14일 (화요일) | 호텔 스위트B형 트윈온돌 | 예약가능 (6실) | 요금: 275000
